Archivio estrazioni VinciCasa
Concorso	Data	N.1	N.2	N.3	N.4	N.5	V5	Q5	V4	Q4	V3	Q3	V2	Q2
9	09/01/2026	2	6	8	12	37	0	50000000	8	18992	316	1700	3278	226
8	08/01/2026	2	11	12	25	30	0	50000000	9	16992	328	1648	3326	224
7	07/01/2026	15	18	25	36	38	0	50000000	3	48384	188	2730	2294	308
6	06/01/2026	1	25	26	35	39	0	50000000	6	17946	124	3070	1638	320
5	05/01/2026	1	18	24	25	31	0	50000000	9	17651	276	2035	2879	269
4	04/01/2026	3	6	18	29	37	0	50000000	2	51882	182	2016	1952	259
3	03/01/2026	10	11	18	23	30	0	50000000	12	16090	409	1669	4118	228
2	02/01/2026	21	25	26	31	33	0	50000000	3	51497	187	2921	2516	299
1	01/01/2026	8	10	13	24	36	0	50000000	6	12573	136	1961	1504	244
365	31/12/2025	21	28	30	31	39	0	50000000	3	56886	195	3095	2465	337
364	30/12/2025	11	22	23	25	39	0	50000000	5	35322	285	2191	3308	260
363	29/12/2025	2	18	32	36	40	0	50000000	6	25037	179	2967	2239	327
362	28/12/2025	7	11	18	20	23	0	50000000	14	7322	274	1323	2296	217
361	27/12/2025	10	16	17	29	31	0	50000000	10	17602	269	2314	3136	273
360	26/12/2025	14	17	18	20	28	0	50000000	2	43243	158	1935	1616	261
359	25/12/2025	1	7	11	24	33	0	50000000	10	6917	156	1567	1401	240
358	24/12/2025	6	10	19	24	31	1	50000000	14	11291	373	1498	3377	228
357	23/12/2025	1	5	8	12	28	0	50000000	21	7669	473	1204	4000	196
356	22/12/2025	8	13	16	22	27	0	50000000	7	19492	326	1480	2934	226
355	21/12/2025	2	16	35	36	40	0	50000000	6	16887	113	3170	1498	329
354	20/12/2025	6	8	28	38	39	0	50000000	8	23666	317	2112	3368	274
353	19/12/2025	5	8	11	27	40	0	50000000	15	9575	429	1183	3461	202
352	18/12/2025	3	21	22	26	36	0	50000000	0	0	195	3050	2439	324
351	17/12/2025	5	15	25	29	40	0	50000000	10	13227	245	1909	2584	249
350	16/12/2025	4	9	16	18	23	0	50000000	9	16195	308	1673	3141	226
349	15/12/2025	12	16	19	26	32	0	50000000	13	9675	217	2049	2350	261
348	14/12/2025	14	17	19	20	32	0	50000000	5	19562	166	2083	1851	257
347	13/12/2025	2	7	11	14	28	0	50000000	23	8155	467	1420	4173	219
346	12/12/2025	7	16	20	25	27	0	50000000	5	28860	315	1620	3139	224
345	11/12/2025	9	11	33	37	38	0	50000000	5	29621	227	2307	2810	257
344	10/12/2025	8	18	30	34	39	0	50000000	7	18766	195	2382	2112	303
343	09/12/2025	1	2	5	18	30	0	50000000	7	21811	278	1942	3123	238
342	08/12/2025	3	6	24	29	34	0	50000000	2	48573	164	2094	1746	271
341	07/12/2025	5	12	15	25	35	0	50000000	6	16352	220	1577	2027	236
340	06/12/2025	13	15	21	29	37	0	50000000	12	15704	237	2812	3096	296
339	05/12/2025	14	19	20	33	36	0	50000000	4	36601	177	2925	2372	301
338	04/12/2025	3	16	18	22	34	0	50000000	6	25208	211	2535	2656	277
337	03/12/2025	6	34	37	38	39	0	50000000	9	14865	180	2628	1788	364
336	02/12/2025	23	28	32	35	36	0	50000000	3	50660	161	3338	2050	361
335	01/12/2025	2	17	24	30	40	0	50000000	6	21359	179	2531	2349	266
334	30/11/2025	9	13	14	30	37	0	50000000	2	48527	154	2228	1801	262
333	29/11/2025	4	5	9	17	32	0	50000000	8	23348	413	1599	4132	220
332	28/11/2025	1	12	14	20	29	0	50000000	8	17763	229	2194	2661	260
331	27/11/2025	4	6	8	29	38	0	50000000	8	18381	262	1984	2979	240
330	26/11/2025	11	22	36	38	40	0	50000000	3	43513	223	2070	2223	286
329	25/11/2025	1	11	13	28	34	0	50000000	3	48692	229	2255	2878	247
328	24/11/2025	13	21	26	37	40	0	50000000	6	20095	169	2523	1988	295
327	23/11/2025	15	21	22	23	40	0	50000000	4	23747	129	2604	1622	285
326	22/11/2025	4	19	22	24	28	0	50000000	11	16601	343	1882	3631	245
325	21/11/2025	4	9	13	27	34	1	50000000	7	19804	275	1782	2882	234
324	20/11/2025	4	14	28	32	37	0	50000000	7	20619	190	2686	2219	317
323	19/11/2025	16	22	23	26	40	0	50000000	6	21455	157	2899	2253	278
322	18/11/2025	12	19	20	30	38	0	50000000	4	36732	237	2192	2840	252
321	17/11/2025	8	27	28	30	34	0	50000000	2	62604	192	2306	2207	276
320	16/11/2025	5	17	27	29	34	0	50000000	3	32122	165	2065	1870	251
319	15/11/2025	3	14	26	30	33	0	50000000	6	31258	292	2271	3110	294
318	14/11/2025	9	11	13	28	40	0	50000000	14	10310	332	1537	3234	217
317	13/11/2025	4	8	11	13	33	0	50000000	16	9322	447	1180	3591	202
316	12/11/2025	4	24	35	36	40	0	50000000	4	32886	170	2736	1922	333
315	11/11/2025	2	12	18	19	27	0	50000000	12	12645	360	1490	3282	225
314	10/11/2025	6	19	24	35	36	0	50000000	5	25475	175	2574	2088	297
313	09/11/2025	1	13	19	26	37	0	50000000	4	24958	159	2220	1780	273
312	08/11/2025	3	11	14	26	37	0	50000000	15	13000	326	2115	3547	268
311	07/11/2025	5	6	9	28	36	0	50000000	5	29943	305	1735	3145	232
310	06/11/2025	6	8	18	35	37	0	50000000	4	38011	222	2422	2718	272
309	05/11/2025	3	9	17	20	39	0	50000000	9	14636	264	1764	2684	239
308	04/11/2025	4	6	10	14	23	1	50000000	11	14100	377	1454	3320	227
307	03/11/2025	9	30	34	38	40	0	50000000	3	45423	178	2707	2125	312
306	02/11/2025	6	19	34	36	37	0	50000000	1	92108	112	2908	1390	323
305	01/11/2025	20	28	29	30	38	0	50000000	3	41583	126	3501	1853	328
304	31/10/2025	12	15	32	35	38	0	50000000	6	24104	173	2956	2075	339
303	30/10/2025	3	5	24	29	39	0	50000000	6	23494	202	2467	2714	253
302	29/10/2025	11	19	22	23	26	0	50000000	8	15683	246	1803	2542	240
301	28/10/2025	1	4	13	24	39	0	50000000	4	35835	233	2175	2686	260
300	27/10/2025	4	14	23	28	34	0	50000000	3	41153	181	2412	2064	291
299	26/10/2025	23	32	35	37	38	0	50000000	2	47331	106	3158	1162	397
298	25/10/2025	4	11	15	16	32	0	50000000	3	61073	298	2174	3207	278
297	24/10/2025	5	8	9	10	21	0	50000000	8	17430	460	1071	3660	185
296	23/10/2025	2	5	14	20	23	0	50000000	10	14165	313	1600	3229	213
295	22/10/2025	13	14	28	34	36	0	50000000	4	31906	145	3112	1851	336
294	21/10/2025	10	21	28	32	37	0	50000000	5	29004	176	2914	2359	299
293	20/10/2025	2	16	31	32	38	0	50000000	4	30491	130	3317	1690	352
292	19/10/2025	15	19	24	26	32	0	50000000	2	47994	129	2631	1454	322
291	18/10/2025	5	12	13	20	25	0	50000000	17	10839	532	1224	4351	206
290	17/10/2025	25	31	34	35	36	0	50000000	3	48436	119	4318	1775	399
289	16/10/2025	1	8	9	18	23	0	50000000	16	9106	386	1334	3497	203
288	15/10/2025	8	9	28	35	38	0	50000000	9	14513	187	2470	2367	269
287	14/10/2025	10	11	15	16	30	0	50000000	9	16443	301	1738	2980	242
286	13/10/2025	8	17	18	31	39	0	50000000	6	20927	193	2300	2373	258
285	12/10/2025	1	3	15	22	36	0	50000000	8	12106	154	2224	1745	270
284	11/10/2025	2	5	19	20	25	1	50000000	17	10972	482	1368	4430	205
283	10/10/2025	1	4	5	13	34	0	50000000	5	28866	284	1797	2937	239
282	09/10/2025	8	9	27	29	34	0	50000000	2	74282	275	1910	3108	233
281	08/10/2025	9	12	14	38	39	0	50000000	4	32853	178	2610	2402	266
280	07/10/2025	7	13	23	27	28	0	50000000	14	10579	356	1471	3234	223
279	06/10/2025	14	19	23	24	25	0	50000000	3	42441	203	2218	2328	266
278	05/10/2025	6	11	13	26	36	0	50000000	1	96921	177	1936	1904	248
277	04/10/2025	2	6	7	12	28	0	50000000	14	13344	487	1356	4444	205
276	03/10/2025	6	10	11	13	24	0	50000000	11	13073	353	1440	3321	211
275	02/10/2025	5	8	23	33	35	0	50000000	10	15019	276	1924	2925	250
274	01/10/2025	5	11	16	30	31	0	50000000	11	12147	242	1952	2529	257
273	30/09/2025	9	16	32	33	35	0	50000000	2	73882	168	3110	2123	339
272	29/09/2025	1	5	8	9	17	0	50000000	16	7747	415	1056	3329	181
271	28/09/2025	1	9	13	27	40	0	50000000	5	18978	222	1511	2058	224
270	27/09/2025	1	4	7	9	11	0	50000000	24	7746	622	1056	4733	191
269	26/09/2025	11	18	21	27	40	0	50000000	8	17344	284	1727	2746	246
268	25/09/2025	3	7	16	27	39	0	50000000	9	15964	279	1821	2851	245
267	24/09/2025	2	24	25	34	38	0	50000000	1	127398	177	2545	2057	302
266	23/09/2025	4	7	20	31	36	0	50000000	4	36578	216	2395	2587	275
265	22/09/2025	5	19	22	33	39	0	50000000	6	20155	207	2066	2303	256
264	21/09/2025	7	14	19	25	34	0	50000000	6	15541	167	1974	1884	241
263	20/09/2025	4	7	13	15	36	0	50000000	8	22546	287	2222	3475	253
262	19/09/2025	5	17	24	29	36	0	50000000	16	8667	237	2069	2550	265
261	18/09/2025	2	3	8	18	27	0	50000000	12	12024	350	1457	3460	203
260	17/09/2025	2	9	16	32	36	0	50000000	5	25533	217	2080	2164	287
259	16/09/2025	15	18	20	22	39	0	50000000	3	48550	215	2395	2408	295
258	15/09/2025	3	8	10	32	34	0	50000000	2	61159	178	2430	2365	252
257	14/09/2025	3	10	14	32	39	0	50000000	8	11864	126	2663	1581	292
256	13/09/2025	8	22	24	25	38	0	50000000	10	18149	307	2090	3541	250
255	12/09/2025	2	4	17	28	35	0	50000000	5	28120	226	2200	2609	262
254	11/09/2025	1	9	13	20	23	0	50000000	11	13162	371	1380	3252	217
253	10/09/2025	9	11	12	17	21	1	50000000	15	8424	304	1469	3104	198
252	09/09/2025	2	8	22	31	32	0	50000000	8	18338	232	2236	2628	272
251	08/09/2025	1	7	17	20	40	0	50000000	11	11628	344	1314	2819	221
250	07/09/2025	2	9	11	24	29	0	50000000	15	6374	212	1594	2013	231
249	06/09/2025	2	3	7	10	40	0	50000000	10	18021	439	1451	4211	208
248	05/09/2025	2	10	24	25	39	0	50000000	6	23325	218	2270	2577	264
247	04/09/2025	8	14	23	31	37	0	50000000	4	36103	218	2342	2599	271
246	03/09/2025	2	5	11	23	25	0	50000000	10	12849	332	1368	3058	204
245	02/09/2025	5	8	24	29	35	0	50000000	9	16309	224	2317	2901	246
244	01/09/2025	7	10	31	35	36	0	50000000	2	61436	156	2785	2040	293
243	31/08/2025	4	6	9	19	36	0	50000000	6	15433	243	1347	2097	215
242	30/08/2025	5	11	17	18	37	0	50000000	9	18735	334	1785	3600	228
241	29/08/2025	8	10	15	31	38	1	50000000	3	43282	248	1851	2413	262
240	28/08/2025	1	7	12	32	40	0	50000000	6	22426	218	2182	2654	247
239	27/08/2025	4	6	20	31	34	0	50000000	3	39828	160	2641	2052	284
238	26/08/2025	9	18	30	38	39	0	50000000	2	67793	160	2996	2244	294
237	25/08/2025	5	8	13	15	27	0	50000000	12	9733	304	1358	2766	205
236	24/08/2025	4	5	8	34	40	0	50000000	2	44599	159	1983	1864	233
235	23/08/2025	8	15	29	34	38	0	50000000	11	14864	218	2652	2643	301
234	22/08/2025	1	2	18	24	29	0	50000000	5	25993	198	2321	2301	275
233	21/08/2025	19	23	28	31	40	0	50000000	8	17046	186	2592	2452	271
232	20/08/2025	1	9	12	26	37	0	50000000	1	116029	210	1954	2169	260
231	19/08/2025	1	9	10	17	27	0	50000000	12	11431	324	1497	3032	220
230	18/08/2025	2	10	16	31	37	0	50000000	2	58814	149	2791	1910	300
229	17/08/2025	1	8	16	19	20	0	50000000	7	13365	238	1390	2107	216
228	16/08/2025	19	30	33	37	39	0	50000000	3	48072	191	2670	2177	323
227	15/08/2025	2	8	22	23	38	0	50000000	5	15893	155	1813	1601	242
226	14/08/2025	1	6	7	11	20	0	50000000	14	9916	379	1295	3276	206
225	13/08/2025	12	17	21	33	38	0	50000000	4	29704	186	2259	2221	260
224	12/08/2025	3	16	17	19	26	0	50000000	8	16771	286	1659	2748	238
223	11/08/2025	3	21	26	35	39	0	50000000	2	56986	123	3276	1741	319
222	10/08/2025	3	14	15	20	23	0	50000000	5	18224	154	2092	1779	249
221	09/08/2025	4	7	30	34	38	0	50000000	3	56715	239	2517	2913	284
220	08/08/2025	15	20	30	34	40	0	50000000	5	27112	151	3174	2038	324
219	07/08/2025	11	23	24	28	33	0	50000000	7	20021	210	2360	2537	269
218	06/08/2025	4	8	29	30	37	0	50000000	8	15689	218	2036	2317	264
217	05/08/2025	12	18	23	26	33	0	50000000	8	18060	226	2260	2671	263
216	04/08/2025	1	4	20	25	40	0	50000000	9	13364	266	1599	2402	244
215	03/08/2025	1	9	27	30	39	0	50000000	11	8564	126	2643	1747	263
214	02/08/2025	3	12	13	19	37	0	50000000	10	17822	333	1892	3816	227
213	01/08/2025	4	15	17	23	29	0	50000000	11	12791	263	1892	2858	240
212	31/07/2025	9	12	21	25	40	0	50000000	6	23319	295	1677	2877	237
211	30/07/2025	17	20	25	33	37	0	50000000	2	60501	162	2641	2135	276
210	29/07/2025	2	9	23	31	38	0	50000000	9	15780	220	2282	2556	271
209	28/07/2025	5	17	21	31	35	0	50000000	6	19612	187	2225	2203	260
208	27/07/2025	10	14	25	27	30	1	50000000	3	30353	151	2132	1839	241
207	26/07/2025	11	13	26	27	29	0	50000000	21	8312	382	1615	3646	233
206	25/07/2025	12	17	22	38	40	0	50000000	5	26333	193	2412	2489	258
205	24/07/2025	10	12	14	26	40	0	50000000	3	45567	249	1941	2651	251
204	23/07/2025	3	5	13	17	22	1	50000000	17	7227	361	1203	2882	207
203	22/07/2025	6	8	11	29	30	0	50000000	9	15554	319	1551	3183	214
202	21/07/2025	3	22	32	37	40	0	50000000	3	39586	138	3043	1906	303
201	20/07/2025	12	25	28	34	35	0	50000000	1	92246	106	3077	1420	316
200	19/07/2025	13	17	25	31	32	0	50000000	6	29155	266	2325	3233	263
199	18/07/2025	2	27	32	35	38	0	50000000	5	27786	153	3211	1995	339
198	17/07/2025	15	17	19	21	26	0	50000000	3	47631	237	2132	2830	246
197	16/07/2025	5	7	9	21	28	0	50000000	10	12435	329	1336	2911	208
196	15/07/2025	19	25	27	33	39	0	50000000	6	23412	211	2354	2431	281
195	14/07/2025	5	9	24	25	31	0	50000000	9	13452	241	1776	2406	245
194	13/07/2025	1	20	23	25	34	0	50000000	4	23865	141	2394	1569	296
193	12/07/2025	5	6	12	31	34	0	50000000	10	17999	278	2289	3438	255
192	11/07/2025	18	22	26	27	38	0	50000000	4	35008	232	2134	2371	288
191	10/07/2025	1	3	5	21	31	0	50000000	9	15937	303	1674	2753	254
190	09/07/2025	2	5	6	17	27	0	50000000	12	10413	323	1368	2805	217
189	08/07/2025	15	17	25	27	38	0	50000000	5	28085	211	2353	2447	279
188	07/07/2025	2	6	38	39	40	0	50000000	2	59768	175	2415	1886	309
187	06/07/2025	16	26	28	30	33	0	50000000	0	0	111	3292	1396	348
186	05/07/2025	3	4	6	7	15	0	50000000	19	9387	427	1477	4298	202
185	04/07/2025	4	11	13	30	37	0	50000000	7	19449	241	1997	2710	245
184	03/07/2025	25	27	30	37	39	0	50000000	5	28466	161	3126	2187	317
183	02/07/2025	5	7	23	30	32	0	50000000	4	31182	222	1986	2443	249
182	01/07/2025	8	16	18	30	40	0	50000000	8	17685	259	1931	2772	248
181	30/06/2025	7	9	17	19	34	0	50000000	6	19138	292	1390	2673	209
180	29/06/2025	1	2	10	19	37	0	50000000	4	21665	171	1792	1688	250
179	28/06/2025	3	7	11	13	17	1	50000000	27	6224	580	1024	4283	191
178	27/06/2025	8	23	25	28	36	0	50000000	8	16379	208	2227	2438	262
177	26/06/2025	1	20	24	27	31	0	50000000	4	33859	193	2481	2355	280
176	25/06/2025	2	16	18	30	32	0	50000000	5	23915	157	2693	1962	297
175	24/06/2025	3	8	13	23	38	0	50000000	12	11482	344	1416	2910	230
174	23/06/2025	5	16	17	26	31	0	50000000	3	39101	211	1966	2200	260
173	22/06/2025	2	20	28	38	39	0	50000000	2	45465	122	2635	1397	317
172	21/06/2025	3	5	32	34	37	0	50000000	4	43605	177	3485	2692	316
171	20/06/2025	2	12	21	27	32	0	50000000	9	15096	246	1953	2539	261
170	19/06/2025	4	10	11	19	37	0	50000000	14	9850	347	1405	3035	221
169	18/06/2025	2	8	19	35	40	0	50000000	12	10553	204	2195	2493	247
168	17/06/2025	5	9	13	20	39	0	50000000	9	15694	294	1699	3036	226
167	16/06/2025	1	10	26	31	34	0	50000000	7	16731	169	2450	1867	305
166	15/06/2025	2	24	26	34	38	0	50000000	1	91292	118	2736	1402	317
165	14/06/2025	12	22	24	36	40	0	50000000	6	28911	256	2396	3104	272
164	13/06/2025	14	22	23	32	40	0	50000000	2	67737	167	2868	2228	296
163	12/06/2025	4	6	17	26	30	0	50000000	14	10017	261	1900	2774	246
162	11/06/2025	7	10	15	25	38	0	50000000	7	17658	234	1868	2425	248
161	10/06/2025	9	22	25	33	40	0	50000000	4	35320	226	2210	2592	265
160	09/06/2025	4	19	31	33	38	0	50000000	0	39943	0	3210	0	297
159	08/06/2025	15	22	24	38	39	0	50000000	3	30182	95	3370	1370	322
158	07/06/2025	4	11	17	28	35	0	50000000	6	29796	342	1848	3530	247
157	06/06/2025	5	14	15	33	36	0	50000000	4	34438	212	2297	2275	295
156	05/06/2025	11	13	21	31	35	0	50000000	9	15947	210	2417	2443	286
155	04/06/2025	3	13	20	21	24	0	50000000	4	31563	228	1958	2511	245
154	03/06/2025	2	13	18	28	38	0	50000000	7	20934	256	2024	2577	277
153	02/06/2025	13	14	15	36	38	0	50000000	3	29186	83	3730	1304	327
152	01/06/2025	12	15	19	20	36	0	50000000	7	13035	164	1967	1799	247
151	31/05/2025	7	17	20	23	24	0	50000000	12	14824	390	1613	3820	227
150	30/05/2025	2	10	22	26	37	0	50000000	6	22688	223	2158	2632	252
149	29/05/2025	3	10	29	31	38	0	50000000	6	23811	222	2275	2496	279
148	28/05/2025	6	21	24	30	37	0	50000000	8	15930	179	2517	2114	294
147	27/05/2025	5	11	14	16	17	0	50000000	9	16176	326	1579	3245	218
146	26/05/2025	2	22	26	36	38	0	50000000	4	30885	160	2730	1989	302
145	25/05/2025	7	9	10	19	22	0	50000000	13	7266	307	1088	2386	193
144	24/05/2025	2	3	13	14	32	0	50000000	4	45893	255	2545	3327	269
143	23/05/2025	11	14	26	32	40	0	50000000	4	35428	221	2267	2420	285
142	22/05/2025	4	22	25	35	39	0	50000000	3	48864	240	2160	2578	277
141	21/05/2025	10	14	26	37	39	0	50000000	2	64797	185	2477	2149	294
140	20/05/2025	2	8	17	34	37	0	50000000	7	21301	241	2188	2574	282
139	19/05/2025	8	17	27	38	40	0	50000000	2	62060	223	1968	2558	236
138	18/05/2025	5	24	26	35	37	0	50000000	1	96238	115	2959	1490	315
137	17/05/2025	12	18	24	32	40	0	50000000	13	14324	286	2302	3228	281
136	16/05/2025	18	26	28	30	35	0	50000000	5	28372	174	2883	2214	312
135	15/05/2025	8	12	18	35	37	0	50000000	11	13272	247	2090	2667	267
134	14/05/2025	1	8	14	20	36	0	50000000	8	16443	223	2086	2581	248
133	13/05/2025	6	7	9	26	28	1	50000000	12	12188	324	1596	3126	228
132	12/05/2025	12	17	21	29	30	0	50000000	12	10649	237	1906	2350	265
131	11/05/2025	29	31	35	36	38	0	50000000	2	48605	96	3581	1183	400
130	10/05/2025	14	32	33	34	37	0	50000000	5	37131	174	3773	2326	389
129	09/05/2025	3	14	21	31	34	0	50000000	6	23754	178	2831	2260	307
128	08/05/2025	7	9	11	33	38	0	50000000	8	18798	284	1872	3149	232
127	07/05/2025	2	8	11	15	19	0	50000000	14	9867	318	1536	3334	202
126	06/05/2025	26	28	36	37	40	0	50000000	4	39181	184	3012	2278	335
125	05/05/2025	6	16	20	29	32	0	50000000	2	65565	184	2520	2242	285
124	04/05/2025	19	28	29	30	33	0	50000000	3	32355	135	2542	1643	288
123	03/05/2025	8	16	19	31	34	1	50000000	10	18370	310	2095	3348	267
122	02/05/2025	11	13	32	34	38	0	50000000	2	72163	202	2526	2299	306
121	01/05/2025	16	21	22	27	34	0	50000000	2	46659	132	2500	1432	317
120	30/04/2025	8	19	26	31	34	0	50000000	8	16964	217	2211	2413	274
119	29/04/2025	3	4	8	10	33	0	50000000	6	24702	375	1397	3381	213
118	28/04/2025	13	15	34	35	38	0	50000000	2	62415	127	3476	1699	358
117	27/04/2025	10	13	19	26	33	0	50000000	5	18723	181	1829	1862	245
116	26/04/2025	9	22	27	28	38	0	50000000	3	58714	262	2377	3141	273
115	25/04/2025	2	13	17	28	30	0	50000000	4	24534	164	2116	1935	247
114	24/04/2025	3	8	26	32	37	0	50000000	10	15107	186	2872	2560	287
113	23/04/2025	4	5	8	26	29	0	50000000	12	10811	280	1638	2989	211
112	22/04/2025	1	8	18	22	28	0	50000000	19	7978	325	1649	3031	243
111	21/04/2025	10	19	33	34	40	0	50000000	0	0	118	2819	1405	315
110	20/04/2025	6	9	16	19	30	0	50000000	10	8060	156	1827	1734	226
109	19/04/2025	4	26	29	30	35	0	50000000	6	31709	239	2815	2919	317
108	18/04/2025	8	12	18	19	34	0	50000000	9	16201	288	1790	3063	232
107	17/04/2025	3	11	14	18	35	0	50000000	6	24377	229	2258	2673	266
106	16/04/2025	7	8	9	22	36	0	50000000	7	18743	289	1605	2806	228
105	15/04/2025	9	12	19	21	30	0	50000000	11	13453	329	1590	3239	222
104	14/04/2025	15	16	23	24	38	0	50000000	4	30938	181	2418	2043	295
103	13/04/2025	10	11	17	34	36	0	50000000	3	31776	147	2293	1702	273
102	12/04/2025	14	23	34	37	38	0	50000000	7	26934	219	3044	2651	346
101	11/04/2025	1	10	12	13	25	0	50000000	10	14098	337	1479	3120	220
100	10/04/2025	21	30	35	37	38	0	50000000	1	150386	145	3667	1834	399
99	09/04/2025	3	12	18	20	26	0	50000000	12	10966	267	1742	2752	233
98	08/04/2025	14	15	24	34	38	0	50000000	4	38220	183	2954	2119	351
97	07/04/2025	12	18	19	34	36	0	50000000	4	32111	168	2703	2345	267
96	06/04/2025	6	13	14	26	40	0	50000000	7	14024	169	2054	1806	265
95	05/04/2025	4	9	22	34	37	0	50000000	6	31701	268	2510	3288	282
94	04/04/2025	8	17	19	22	38	0	50000000	8	18274	307	1684	3021	236
