Concorso	Data	Ruota	N1	N2	N3	N4	N5
71	15/06/2021	Napoli	36	42	5	20	37
72	17/06/2021	Napoli	28	6	15	42	20
73	19/06/2021	Napoli	38	27	1	3	32
74	22/06/2021	Napoli	23	25	40	24	15
75	24/06/2021	Napoli	33	42	10	16	23
76	26/06/2021	Napoli	13	29	5	42	24
77	29/06/2021	Napoli	23	20	27	39	19
78	01/07/2021	Nazionale	34	40	13	43	30
79	03/07/2021	Nazionale	14	27	43	18	26
80	06/07/2021	Nazionale	21	25	10	45	28
81	08/07/2021	Nazionale	36	28	33	15	11
82	10/07/2021	Nazionale	2	8	3	12	36
83	13/07/2021	Nazionale	12	28	34	32	8
84	15/07/2021	Nazionale	12	24	25	6	14
85	17/07/2021	Nazionale	41	45	23	34	15
86	20/07/2021	Nazionale	29	16	9	23	3
87	22/07/2021	Nazionale	34	13	3	35	30
88	24/07/2021	Nazionale	14	24	17	7	22
89	27/07/2021	Nazionale	5	22	19	44	7
90	29/07/2021	Nazionale	38	11	37	13	9
91	31/07/2021	Nazionale	16	35	9	40	1
92	03/08/2021	Nazionale	39	29	44	24	45
93	05/08/2021	Nazionale	36	5	22	11	3
94	07/08/2021	Nazionale	14	7	25	12	28
95	10/08/2021	Nazionale	21	30	29	33	20
96	12/08/2021	Nazionale	28	9	26	32	8
97	14/08/2021	Nazionale	11	2	45	8	22
98	17/08/2021	Nazionale	1	36	33	42	25
99	19/08/2021	Nazionale	26	29	21	3	28
100	21/08/2021	Nazionale	33	32	5	1	18
101	24/08/2021	Nazionale	26	2	18	33	1
102	26/08/2021	Nazionale	37	10	23	24	8
103	28/08/2021	Nazionale	8	19	28	33	11
104	31/08/2021	Nazionale	10	6	31	7	17
105	02/09/2021	Palermo	44	35	4	30	3
106	04/09/2021	Palermo	13	17	3	44	37
107	07/09/2021	Palermo	3	1	20	31	27
108	09/09/2021	Palermo	13	9	5	33	15
109	11/09/2021	Palermo	24	5	35	30	40
110	14/09/2021	Palermo	31	37	26	38	12
111	16/09/2021	Palermo	11	3	43	29	6
112	18/09/2021	Palermo	16	38	40	18	8
113	21/09/2021	Palermo	11	12	45	13	27
114	23/09/2021	Palermo	11	28	26	9	32
115	25/09/2021	Palermo	32	29	27	34	4
116	28/09/2021	Palermo	23	30	13	35	33
117	30/09/2021	Palermo	21	25	38	44	15
118	02/10/2021	Roma	3	27	7	32	29
119	05/10/2021	Roma	7	42	6	21	15
120	07/10/2021	Roma	28	32	30	20	26
121	09/10/2021	Roma	27	40	39	23	1
122	12/10/2021	Roma	42	27	40	35	28
123	14/10/2021	Roma	16	1	32	7	42
124	16/10/2021	Roma	20	33	4	29	32
125	19/10/2021	Roma	13	36	7	6	2
126	21/10/2021	Roma	31	43	14	44	12
127	23/10/2021	Roma	45	21	35	38	26
128	26/10/2021	Roma	8	9	22	10	7
129	28/10/2021	Roma	8	3	35	13	10
130	30/10/2021	Roma	16	1	45	24	40
131	02/11/2021	Torino	10	33	42	35	3
132	04/11/2021	Torino	23	14	7	38	4
133	06/11/2021	Torino	6	36	1	2	27
134	09/11/2021	Torino	5	41	37	26	12
135	11/11/2021	Torino	30	35	34	11	21
136	13/11/2021	Torino	35	6	13	28	12
137	16/11/2021	Torino	29	24	23	31	15
138	18/11/2021	Torino	12	31	10	34	29
139	20/11/2021	Torino	24	45	27	37	36
140	23/11/2021	Torino	28	13	12	30	40
141	25/11/2021	Torino	11	5	22	20	19
142	27/11/2021	Torino	1	38	24	2	6
143	30/11/2021	Torino	21	25	33	18	39
144	02/12/2021	Venezia	5	33	7	28	34
145	04/12/2021	Venezia	25	40	24	11	32
146	07/12/2021	Venezia	16	42	13	29	3
147	09/12/2021	Venezia	37	7	15	1	28
148	11/12/2021	Venezia	27	37	24	40	28
149	14/12/2021	Venezia	40	2	32	42	27
150	16/12/2021	Venezia	30	41	26	36	17
151	18/12/2021	Venezia	33	8	40	14	9
152	21/12/2021	Venezia	26	40	30	44	32
153	23/12/2021	Venezia	28	40	36	14	29
154	27/12/2021	Venezia	1	16	17	7	14
155	28/12/2021	Venezia	13	3	18	11	1
156	30/12/2021	Venezia	7	14	6	45	4
1	03/01/2022	Bari	26	3	5	25	11
2	04/01/2022	Bari	16	4	6	27	39
3	07/01/2022	Bari	18	37	16	39	35
4	08/01/2022	Bari	30	28	26	21	45
5	11/01/2022	Bari	26	33	16	31	11
6	13/01/2022	Bari	7	2	10	41	6
7	15/01/2022	Bari	43	3	2	18	15
8	18/01/2022	Bari	6	39	25	9	41
9	20/01/2022	Bari	40	22	11	7	19
10	22/01/2022	Bari	44	23	1	4	20
11	25/01/2022	Bari	43	14	19	4	42
12	27/01/2022	Bari	7	38	4	34	39
13	29/01/2022	Bari	43	15	17	2	7
14	01/02/2022	Cagliari	45	8	19	20	15
15	03/02/2022	Cagliari	4	16	18	30	41
16	05/02/2022	Cagliari	31	39	42	19	7
17	08/02/2022	Cagliari	39	44	32	11	17
18	10/02/2022	Cagliari	30	18	29	24	28
19	12/02/2022	Cagliari	6	35	43	40	12
20	15/02/2022	Cagliari	8	29	44	36	4
21	17/02/2022	Cagliari	22	8	6	21	9
22	19/02/2022	Cagliari	4	35	18	34	19
23	22/02/2022	Cagliari	39	11	40	23	25
24	24/02/2022	Cagliari	11	44	33	15	13
25	26/02/2022	Cagliari	27	12	36	31	32
26	01/03/2022	Firenze	41	37	22	24	9
27	03/03/2022	Firenze	16	18	23	8	42
28	05/03/2022	Firenze	39	44	25	23	15
29	08/03/2022	Firenze	36	23	33	19	38
30	10/03/2022	Firenze	24	38	18	37	14
31	12/03/2022	Firenze	7	23	1	13	16
32	15/03/2022	Firenze	30	5	33	3	14
33	17/03/2022	Firenze	17	30	45	29	10
34	19/03/2022	Firenze	19	41	30	45	4
35	22/03/2022	Firenze	33	20	40	2	20
36	24/03/2022	Firenze	13	26	44	36	38
37	26/03/2022	Firenze	35	14	5	40	10
38	29/03/2022	Firenze	27	12	6	15	34
39	31/03/2022	Firenze	19	20	21	13	40
40	02/04/2022	Genova	13	7	23	29	24
41	05/04/2022	Genova	5	33	29	10	11
42	07/04/2022	Genova	24	45	16	32	38
43	09/04/2022	Genova	28	18	37	7	1
44	12/04/2022	Genova	28	30	33	10	17
45	14/04/2022	Genova	18	37	32	15	14
46	16/04/2022	Genova	45	16	17	6	40
47	19/04/2022	Genova	34	30	32	14	24
48	21/04/2022	Genova	40	41	38	25	29
49	23/04/2022	Genova	23	35	13	18	21
50	26/04/2022	Genova	20	5	25	29	8
51	28/04/2022	Genova	9	44	37	19	18
52	30/04/2022	Genova	42	23	4	10	37
53	03/05/2022	Milano	39	12	7	18	19
54	05/05/2022	Milano	32	9	39	4	25
55	07/05/2022	Milano	32	19	36	9	23
56	10/05/2022	Milano	27	16	44	34	32
57	12/05/2022	Milano	24	28	34	2	33
58	14/05/2022	Milano	18	6	17	39	35
59	17/05/2022	Milano	3	41	18	15	33
60	19/05/2022	Milano	6	26	27	41	28
61	21/05/2022	Milano	41	2	8	13	21
62	24/05/2022	Milano	33	30	12	36	31
63	26/05/2022	Milano	33	4	11	35	37
64	28/05/2022	Milano	12	40	22	31	4
65	31/05/2022	Milano	42	12	38	43	44
66	03/06/2022	Napoli	17	31	40	6	33
67	04/06/2022	Napoli	20	1	26	39	23
68	07/06/2022	Napoli	2	40	17	36	18
69	09/06/2022	Napoli	42	38	26	3	18
70	11/06/2022	Napoli	18	2	4	16	17
71	14/06/2022	Napoli	23	20	7	41	12
72	16/06/2022	Napoli	7	36	34	24	25
73	18/06/2022	Napoli	39	29	25	13	31
74	21/06/2022	Napoli	45	14	44	18	29
75	23/06/2022	Napoli	41	2	32	13	23
76	25/06/2022	Napoli	13	15	28	18	1
77	28/06/2022	Napoli	34	4	30	20	31
78	30/06/2022	Napoli	32	38	37	6	41
79	02/07/2022	Nazionale	37	30	16	27	29
80	05/07/2022	Nazionale	41	15	6	5	40
81	07/07/2022	Nazionale	10	25	5	35	43
82	09/07/2022	Nazionale	3	12	4	42	22
83	12/07/2022	Nazionale	32	29	45	2	37
84	14/07/2022	Nazionale	8	39	31	34	32
85	16/07/2022	Nazionale	16	3	43	11	14
86	19/07/2022	Nazionale	28	40	27	3	19
87	21/07/2022	Nazionale	44	5	13	9	15
88	23/07/2022	Nazionale	21	18	13	35	29
89	26/07/2022	Nazionale	45	8	37	34	39
90	28/07/2022	Nazionale	3	41	22	27	43
91	30/07/2022	Nazionale	16	10	39	3	4
92	02/08/2022	Nazionale	35	22	24	44	43
93	04/08/2022	Nazionale	8	6	23	1	9
94	06/08/2022	Nazionale	38	40	21	16	14
95	09/08/2022	Nazionale	17	5	2	29	45
96	11/08/2022	Nazionale	28	9	34	33	2
97	13/08/2022	Nazionale	17	41	29	5	13
98	16/08/2022	Nazionale	14	34	10	22	11
99	18/08/2022	Nazionale	16	25	44	37	28
100	20/08/2022	Nazionale	32	24	19	40	5
101	23/08/2022	Nazionale	15	21	5	27	8
102	25/08/2022	Nazionale	35	17	7	5	9
103	27/08/2022	Nazionale	30	29	23	39	11
104	30/08/2022	Nazionale	7	45	11	37	4
105	01/09/2022	Palermo	34	19	29	39	21
106	03/09/2022	Palermo	16	32	15	26	14
107	06/09/2022	Palermo	27	3	1	42	35
108	08/09/2022	Palermo	20	21	6	1	43
109	10/09/2022	Palermo	24	34	26	11	23
110	13/09/2022	Palermo	28	42	27	5	29
111	15/09/2022	Palermo	18	22	31	23	11
112	17/09/2022	Palermo	39	19	36	34	14
113	20/09/2022	Palermo	3	32	5	11	45
114	22/09/2022	Palermo	13	10	12	43	32
115	24/09/2022	Palermo	32	17	29	43	21
116	27/09/2022	Palermo	9	7	3	37	40
117	29/09/2022	Palermo	18	3	1	21	20
118	01/10/2022	Roma	23	4	22	43	29
119	04/10/2022	Roma	26	19	41	12	42
120	06/10/2022	Roma	45	33	44	17	30
121	08/10/2022	Roma	36	18	2	23	27
122	11/10/2022	Roma	9	16	24	34	14
123	13/10/2022	Roma	44	8	33	16	24
124	15/10/2022	Roma	34	29	10	42	4
125	18/10/2022	Roma	38	34	6	16	33
126	20/10/2022	Roma	35	23	25	12	28
127	22/10/2022	Roma	42	12	21	43	29
128	25/10/2022	Roma	29	7	3	27	23
129	27/10/2022	Roma	2	5	33	31	10
130	29/10/2022	Roma	29	23	43	34	19
131	02/11/2022	Torino	7	42	40	34	35
132	03/11/2022	Torino	28	3	36	33	18
133	05/11/2022	Torino	38	23	10	26	31
134	08/11/2022	Torino	7	6	2	39	35
135	10/11/2022	Torino	27	36	39	20	22
136	12/11/2022	Torino	30	18	32	4	39
137	15/11/2022	Torino	42	44	27	38	4
138	17/11/2022	Torino	5	36	20	21	29
139	19/11/2022	Torino	3	20	41	5	32
140	22/11/2022	Torino	33	16	29	27	3
141	24/11/2022	Torino	16	19	15	14	33
142	26/11/2022	Torino	31	29	39	2	17
143	29/11/2022	Torino	12	5	4	29	11
144	01/12/2022	Venezia	10	11	16	18	13
145	03/12/2022	Venezia	34	37	26	23	41
146	06/12/2022	Venezia	33	38	15	13	18
147	09/12/2022	Venezia	45	2	33	29	42
148	10/12/2022	Venezia	28	18	14	27	45
149	13/12/2022	Venezia	21	43	33	38	9
150	15/12/2022	Venezia	14	41	2	7	27
151	17/12/2022	Venezia	2	27	24	20	30
152	20/12/2022	Venezia	26	15	40	16	45
153	22/12/2022	Venezia	31	25	42	33	34
154	24/12/2022	Venezia	42	24	25	41	40
155	27/12/2022	Venezia	31	40	4	23	37
156	29/12/2022	Venezia	45	22	17	3	27
157	31/12/2022	Venezia	19	23	16	15	31
1	03/01/2023	Bari	1	30	24	36	31
2	05/01/2023	Bari	25	45	43	39	7
3	07/01/2023	Bari	20	13	45	25	39
4	10/01/2023	Bari	27	37	6	39	11
5	12/01/2023	Bari	31	24	27	12	11
6	14/01/2023	Bari	33	39	12	19	16
7	17/01/2023	Bari	10	15	16	31	30
8	19/01/2023	Bari	41	8	17	7	20
9	21/01/2023	Bari	31	33	4	32	1
10	24/01/2023	Bari	25	36	41	13	2
11	26/01/2023	Bari	20	7	18	40	8
12	28/01/2023	Bari	19	37	9	2	12
13	31/01/2023	Bari	32	37	11	15	6
14	02/02/2023	Cagliari	7	22	21	4	12
15	04/02/2023	Cagliari	2	18	22	19	35
16	07/02/2023	Cagliari	14	8	13	10	43
17	09/02/2023	Cagliari	20	18	23	39	37
18	11/02/2023	Cagliari	17	19	27	42	3
19	14/02/2023	Cagliari	20	34	30	31	8
20	16/02/2023	Cagliari	45	27	23	9	21
21	18/02/2023	Cagliari	22	19	39	6	38
22	21/02/2023	Cagliari	11	28	8	23	10
23	23/02/2023	Cagliari	33	44	26	4	37
24	25/02/2023	Cagliari	11	29	41	36	10
25	28/02/2023	Cagliari	10	9	5	45	7
26	02/03/2023	Firenze	16	41	29	30	6
27	04/03/2023	Firenze	22	28	3	34	31
28	07/03/2023	Firenze	25	37	12	29	32
29	09/03/2023	Firenze	33	19	42	5	30
30	11/03/2023	Firenze	37	31	17	14	36
31	14/03/2023	Firenze	33	5	41	3	28
32	16/03/2023	Firenze	39	4	3	6	34
33	18/03/2023	Firenze	42	17	30	41	7
34	21/03/2023	Firenze	35	14	22	36	29
35	23/03/2023	Firenze	19	23	34	10	39
36	25/03/2023	Firenze	42	34	30	33	15
37	28/03/2023	Firenze	24	29	21	31	34
38	30/03/2023	Firenze	41	9	22	28	26
39	01/04/2023	Genova	26	28	36	44	20
40	04/04/2023	Genova	16	14	23	41	20
41	06/04/2023	Genova	10	16	45	39	29
42	08/04/2023	Genova	27	42	28	37	38
43	11/04/2023	Genova	4	41	1	13	37
44	13/04/2023	Genova	12	16	41	29	1
45	15/04/2023	Genova	38	43	22	32	26
46	18/04/2023	Genova	2	3	11	12	17
47	20/04/2023	Genova	34	32	29	18	43
48	22/04/2023	Genova	6	1	16	9	7
49	26/04/2023	Genova	36	43	22	44	38
50	27/04/2023	Genova	32	35	31	2	33
51	29/04/2023	Genova	36	27	23	6	45
52	02/05/2023	Milano	7	12	35	37	24
53	04/05/2023	Milano	36	13	26	11	5
54	06/05/2023	Milano	44	42	4	29	24
55	09/05/2023	Milano	37	24	43	45	28
56	11/05/2023	Milano	23	4	29	25	2
57	13/05/2023	Milano	17	43	27	3	44
58	16/05/2023	Milano	8	30	35	2	3
59	18/05/2023	Milano	9	12	39	20	27
60	20/05/2023	Milano	13	26	23	14	8
61	23/05/2023	Milano	24	44	12	34	18
62	25/05/2023	Milano	41	33	19	31	17
